timestamp_ms;posicao_x;teto_filtrado_y;lidar_raw;encoder;aceleracao;velocidade;e_automatico;e_inspecao;confianca
0;0.00;0.00;0;0;0;50;0;0;0.10
98;0.00;0.00;0;0;0;50;0;0;0.20
199;0.00;0.00;0;0;0;50;0;0;0.30
300;0.00;0.00;0;0;0;50;0;0;0.40
399;0.00;0.00;0;0;0;50;1;0;0.50
499;0.00;0.00;0;0;0;50;1;0;0.60
600;0.00;70.50;143;0;0;50;1;0;0.70
699;0.00;145.00;147;0;0;50;1;0;0.80
799;0.00;147.50;145;0;0;50;1;0;0.90
899;0.00;144.00;144;0;0;50;1;0;1.00
1000;1.00;143.00;145;1;0;50;1;0;0.10
1099;1.00;144.00;143;1;0;50;1;0;0.20
1198;1.00;143.50;144;1;0;50;1;0;0.30
1299;1.00;142.00;148;1;0;50;1;0;0.40
1399;1.00;141.50;145;1;0;50;1;0;0.50
1500;1.00;144.50;146;1;0;50;1;0;0.60
1600;2.00;144.75;142;0;0;50;1;0;0.10
1699;2.00;143.00;145;0;0;50;1;0;0.20
1800;2.00;143.50;144;0;0;50;1;0;0.30
1900;2.00;143.00;145;0;0;50;1;0;0.40
1999;2.00;146.00;139;0;0;50;1;0;0.50
2098;3.00;144.50;144;1;0;50;1;0;0.10
2200;3.00;143.50;147;1;0;50;1;0;0.20
2300;3.00;144.50;147;1;0;50;1;0;0.30
2398;3.00;146.00;146;1;0;50;1;0;0.40
2499;3.00;146.50;145;1;0;50;1;0;0.50
2600;4.00;145.50;148;0;0;50;1;0;0.10
2699;4.00;146.00;141;0;0;50;1;0;0.20
2799;4.00;143.75;148;0;0;50;1;0;0.30
2899;4.00;146.00;148;0;0;50;1;0;0.40
2999;4.00;147.00;145;0;0;50;1;0;0.50
3099;5.00;147.50;148;1;0;50;1;0;0.10
3198;5.00;147.75;146;1;0;50;1;0;0.20
3300;5.00;145.00;145;1;0;50;1;0;0.30
3400;5.00;144.00;142;1;0;50;1;0;0.40
3499;5.00;143.50;144;1;0;50;1;0;0.50
3600;5.00;143.75;144;1;0;50;1;0;0.60
3700;6.00;144.00;147;0;0;50;1;0;0.10
3799;6.00;144.00;146;0;0;50;1;0;0.20
3899;6.00;145.50;145;0;0;50;1;0;0.30
4000;6.00;145.25;145;0;0;50;1;0;0.40
4099;6.00;144.00;147;0;0;50;1;0;0.50
4198;7.00;143.50;146;1;0;50;1;0;0.10
4299;7.00;145.00;147;1;0;50;1;0;0.20
4398;7.00;146.00;141;1;0;50;1;0;0.30
4500;7.00;144.50;146;1;0;50;1;0;0.40
4600;7.00;145.50;144;1;0;50;1;0;0.50
